r,l,t
0.0,200,2.36801
0.0,200,5.703774
0.0,200,8.552591
0.0,200,11.539492
0.0,200,14.892295
0.0,200,18.269957
0.0,200,21.378444
0.0,200,24.349013
0.0,200,27.925929
0.0,200,30.888649
0.0,200,33.938489
0.0,200,36.921108
0.0,200,40.743202
0.0,200,43.908807
0.0,200,46.846091
0.0,200,50.244396
0.0,200,54.648229
0.0,200,57.541774
0.0,200,60.480837
0.0,200,63.722417
0.0,200,67.454079
0.0,200,70.339769
0.0,200,73.295073
0.0,200,77.017993
0.0,200,80.223966
0.0,200,83.270511
0.0,200,86.195545
0.0,200,89.76817
0.0,200,93.008076
0.0,200,95.961531
0.0,200,99.167257
0.0,200,103.196773
0.0,200,106.430112
0.0,200,109.414331
0.0,200,112.691797
0.0,200,116.068436
0.0,200,119.263974
0.0,200,122.206561
0.0,200,125.955019
0.0,200,129.008606
0.0,200,132.09614
0.0,200,135.030678
0.0,200,138.633275
0.0,200,141.529056
0.0,200,144.53314
0.0,200,147.754422
0.0,200,151.973024
0.0,200,154.964312
0.0,200,158.120846
0.0,200,161.250283
